id,name,typecode,addr,gcj,wgs,cell_id,wgs_lng,wgs_lat,kind
B0LGOZ6NE7,上海浦东温德姆花园酒店,100100,惠南镇沪南公路9825号近大川公路,"121.734828,31.041523","121.730467,31.043643",10070,121.730467,31.043643,hotel
B00156GXOF,豪泰酒店(上海浦东机场野生动物园店),100105,惠南镇大川公路2728号(近沪南公路),"121.735762,31.040984","121.731401,31.043104",10070,121.731401,31.043104,hotel
B0LGOHT3TC,上海浦东温德姆花园酒店大堂,100100,惠南镇沪南公路9825号近大川公路,"121.735018,31.04124","121.730657,31.043360",10070,121.730657,31.04336,hotel
B0MG9CQLS0,拾光公寓,100200,项埭村821号,"121.72837,31.048946","121.724012,31.051066",10070,121.724012,31.051066,hotel
B0IUXUGGAJ,格林豪泰智选酒店(上海惠南地铁站南园路店),100100,惠南镇南园路45号(衡山度假村东门),"121.735717,31.040922","121.731356,31.043042",10070,121.731356,31.043042,hotel
B0MBU5MD17,项埭村出租屋,100200,人民西路辅路与宣盛路交叉口东200米,"121.730441,31.048976","121.726082,31.051095",10070,121.726082,31.051095,hotel
B0FFFGXJ8O,格林豪泰智选酒店(上海虹桥机场国家会展中心店),100105,上海嘉定榆中路101号,"121.325596,31.25497","121.321057,31.256891",5268,121.321057,31.256891,hotel
B00156E4QB,上海闽鸿宾馆,100100|100200,江桥镇临洮路263号,"121.32929,31.255686","121.324742,31.257600",5268,121.324742,31.2576,hotel
B0FFGBZF47,芒果青年社区,100201|060000,靖远路1200号万辉玛特3层,"121.326403,31.254761","121.321862,31.256680",5268,121.321862,31.25668,hotel
B0L3YRJXZA,登巴mini客栈(临洮路店),100100,临洮路283号,"121.329367,31.256248","121.324819,31.258161",5268,121.324819,31.258161,hotel
B0FFFEUGFH,彩虹小居旅馆(上海嘉定江桥榆中路店),100200,榆中路140-142号,"121.326214,31.255815","121.321673,31.257734",5268,121.321673,31.257734,hotel
B0MAYO47R7,沪上暖居青年旅舍,100201,临夏路与张掖路交叉口西北340米,"121.332816,31.259495","121.328260,31.261400",5268,121.32826,31.2614,hotel
B0I11A4VE6,荣荟酒店(上海虹桥国展中心店),100200,靖远路915号,"121.327693,31.254051","121.323149,31.255968",5268,121.323149,31.255968,hotel
B0FFGY60KG,翔威公寓(临洮路店),100200,临洮路349号,"121.329695,31.257882","121.325146,31.259794",5268,121.325146,31.259794,hotel
B0JB15AGHB,格林豪泰上海江桥靖远路榆中路店大堂,100100,榆中路101号格林豪泰智选酒店,"121.325557,31.254897","121.321018,31.256818",5268,121.321018,31.256818,hotel
B00156OB17,靖远宾馆,100100,江桥镇靖远路1099弄208号(近大润发超市),"121.324217,31.254454","121.319681,31.256378",5268,121.319681,31.256378,hotel
B0FFHDGQM0,乐乎有朋天悦公寓,100200,榆中路与靖远路交叉口东北80米,"121.326426,31.255107","121.321885,31.257026",5268,121.321885,31.257026,hotel
B0GKUSGS2S,迎华公寓,100201,临夏路789号,"121.328524,31.257035","121.323978,31.258949",5268,121.323978,31.258949,hotel
B0FFGEU1MQ,临夏青年公寓,120000|100201,临夏路796号,"121.328906,31.25718","121.324359,31.259094",5268,121.324359,31.259094,other
B0G06XP8A1,芒果青年公寓(靖远路),100100,靖远路与榆中路交叉口东60米,"121.326424,31.25483","121.321883,31.256749",5268,121.321883,31.256749,hotel
B0I2YAQHD6,荣荟宾馆大堂,100200,靖远路915号荣荟酒店(上海虹桥国展中心店),"121.327782,31.254008","121.323238,31.255925",5268,121.323238,31.255925,hotel
B0FFHDG9RD,熠顺公寓,100200,汇丰沁苑北区西南1门旁,"121.329255,31.256873","121.324707,31.258786",5268,121.324707,31.258786,hotel
